model,duration_used,accuracy,precision,recall,f1,roc_auc,pr_auc,confusion_matrix
Logistic Regression,False,0.893177043016698,0.6631205673758865,0.1767485822306238,0.2791044776119403,0.7717390712500873,0.41101125285995244,"{'tn': 7890, 'fp': 95, 'fn': 871, 'tp': 187}"
Logistic Balanced,False,0.7557226584098198,0.2672866963202588,0.6247637051039697,0.37439818748229964,0.7722118385962338,0.40938598383140007,"{'tn': 6173, 'fp': 1812, 'fn': 397, 'tp': 661}"
Decision Tree,False,0.8225146522171846,0.33883323512080143,0.5434782608695652,0.41742286751361163,0.7446423646416426,0.34187019598393276,"{'tn': 6863, 'fp': 1122, 'fn': 483, 'tp': 575}"
Random Forest,False,0.8141103616056619,0.3361388742766965,0.6039697542533081,0.43190266982088543,0.792183003812678,0.43379770499746334,"{'tn': 6723, 'fp': 1262, 'fn': 419, 'tp': 639}"
Logistic Regression (With Duration),True,0.9011390025434037,0.6443661971830986,0.34593572778827975,0.45018450184501846,0.9056920288868661,0.5456942222077238,"{'tn': 7783, 'fp': 202, 'fn': 692, 'tp': 366}"
Random Forest (With Duration),True,0.8439677098308084,0.41717503519474425,0.8402646502835539,0.5575415490749451,0.9176085121796185,0.5878079410739275,"{'tn': 6743, 'fp': 1242, 'fn': 169, 'tp': 889}"
